pose_index,requested_roll_deg,requested_pitch_deg,requested_yaw_deg,applied_roll_deg,applied_pitch_deg,applied_yaw_deg,candidate,calibration_path,measurement_count,board_x_m,board_y_m,board_z_m,board_qx,board_qy,board_qz,board_qw,board_roll_deg,board_pitch_deg,board_yaw_deg,within_position_rms_mm,within_rotation_rms_deg
16,8.0,8.0,8.0,4.0,4.0,4.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2872343215595249,-0.1198652043686567,-0.07094778402094304,-0.04697192561456488,0.9971990104042034,-0.02984063785193087,0.04997307460550355,-176.30115882526837,5.558548195164592,-174.42665711045933,0.03889583229049915,0.02481777218642519
17,-8.0,-8.0,-8.0,-6.0,-6.0,-6.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28601909168257056,-0.13336595054365064,-0.06055023930425836,0.005814248949695079,0.9986468509844529,-0.01744840177860421,0.04864375400150713,-178.02590864071266,5.58709642251308,179.42917677012557,0.12413425072499291,0.054452953623293505
17,-8.0,-8.0,-8.0,-6.0,-6.0,-6.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2925613283778555,-0.11459594429071493,-0.06636459030031347,-0.04601221748834636,0.9967444681214106,-0.023331291690680187,0.061959599249963394,-176.98477453503781,6.971102261099188,-174.53022163378384,0.12413425072499405,0.05445295359652069
18,8.0,-8.0,8.0,8.0,-8.0,8.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.281879817671565,-0.1351411132155544,-0.0635247621199239,0.009235372688106038,0.9991697407939081,-0.02519270327591504,0.030657212443370795,-177.1413348911168,3.5390523468696222,179.02918858438542,0.08024165191559049,0.08548319453177301
18,8.0,-8.0,8.0,8.0,-8.0,8.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2866424092890372,-0.12490413899549035,-0.07318533774443872,-0.04137990031165546,0.9976481341712177,-0.04337715107197402,0.03323141585555263,-174.86650075698034,3.5957584069555586,-175.08851291351712,0.08024165191559904,0.08548319453433116
19,-8.0,8.0,-8.0,-4.0,4.0,-4.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2888042031305181,-0.1367814802164624,-0.05844449171711776,0.0060502194243921914,0.9984285286589584,-0.022872317507425494,0.05080083755868423,-177.40401632872147,5.838153851844362,179.4380092303287,0.5172979148129314,0.2741705730492305
19,-8.0,8.0,-8.0,-4.0,4.0,-4.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.29007957699385517,-0.1163950128231126,-0.06789661752844742,-0.04751063521146025,0.9969909961325385,-0.02525509392137375,0.05580209138979281,-176.79013545455746,6.250099103464719,-174.36808556294258,0.517297914812929,0.27417057305109155
20,12.0,6.0,0.0,12.0,6.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28625200020054037,-0.13823220510224193,-0.05964349959835598,0.010198177396939326,0.9983838305254178,-0.025797895983718747,0.04960032949474964,-177.09082120367424,5.714209150851042,178.9747441589737,0.08269972516065482,0.06114992007165452
20,12.0,6.0,0.0,12.0,6.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.28316807239581687,-0.12575932185042699,-0.07334446367666762,-0.042466149171215724,0.9974714826051333,-0.03577880258601661,0.04435250668898068,-175.67467796500281,4.9014389231506,-174.93913822458998,0.08269972516064786,0.061149920022781
21,-12.0,-6.0,0.0,-9.0,-4.5,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.286470991191909,-0.13380045684931868,-0.059673670778839935,0.00532342209996271,0.9985722650318258,-0.01761245670366183,0.050148719377630616,-178.00476321944393,5.7588507367057336,179.4894805050827,0.04622291974292759,0.03421196307122605
21,-12.0,-6.0,0.0,-9.0,-4.5,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2934141543878114,-0.11289451162416438,-0.06515777221978067,-0.04670756625947245,0.9966623596727446,-0.021705572420036744,0.063335710239898,-177.15887408432727,7.135772207627297,-174.45652357551157,0.046222919742926666,0.034211963052050404
22,12.0,-6.0,0.0,6.0,-3.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.28418438165562543,-0.13599579135322062,-0.061433317820670255,0.009377064412755607,0.9987074217745585,-0.025583192075647125,0.04290753591892431,-177.1062847533269,4.944109469208013,179.04906328636076,0.03753244350065241,0.03225021327230416
22,12.0,-6.0,0.0,6.0,-3.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2874343084158391,-0.12371428953189798,-0.07147966042630757,-0.04256428460715125,0.9972519580399805,-0.039420519142586916,0.04607425020372482,-175.2463277075781,5.079588865530346,-174.9010398266951,0.0375324435006486,0.032250213328809944
23,-12.0,6.0,0.0,-6.0,3.0,0.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.2891595748928172,-0.13556830970295167,-0.05778791061938919,0.00433920276230333,0.9983635194145957,-0.0220493611570768,0.052585930571349415,-177.48888080154498,6.038176914040943,179.63441430922828,0.04188626850473875,0.0233473621416841
23,-12.0,6.0,0.0,-6.0,3.0,0.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2919195556093614,-0.11429943072465913,-0.06646532552280883,-0.04907781752282668,0.9967587805668155,-0.024049268531470176,0.05903332849545458,-176.89889703455336,6.622278946424048,-174.18290460651005,0.041886268504744445,0.02334736218227148
24,6.0,0.0,12.0,6.0,0.0,12.0,old,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260715_baseline_old/calibration.calib,10,0.284977934474658,-0.1361823010918066,-0.060984021461259065,0.006893123485053127,0.9986989735529073,-0.022598822829206153,0.04519002411731373,-177.43804971914722,5.196630566077874,179.32537111110244,0.05977102810943295,0.04915077577875608
24,6.0,0.0,12.0,6.0,0.0,12.0,new,src/robot_arm/robot_camera/handeye_calibration_1828/data/runs/20260723_auto_30samples/calibration.calib,10,0.2866951854787692,-0.12106465080140794,-0.072488796772982,-0.045936663368149874,0.9974208869048747,-0.032986951298865454,0.04419568269074263,-175.97919440535983,4.883659882554776,-174.5546286946061,0.05977102810942722,0.049150775765408654
